year,AS-RCEC_TaiESM1_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r1i1p1f2,MOHC_UKESM1-0-LL_r2i1p1f2,MOHC_UKESM1-0-LL_r3i1p1f2,MOHC_UKESM1-0-LL_r4i1p1f2,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NCAR_CESM2-FV2_r1i1p1f1,NCAR_CESM2-WACCM-FV2_r1i1p1f1,NCAR_CESM2-WACCM_r1i1p1f1,NCAR_CESM2_r1i1p1f1,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NOAA-GFDL_GFDL-CM4_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,MRI_MRI-ESM2-0_r1i2p1f1
1901,,3668209200000000.0,3669430800000000.0,3676068860565728.5,3715812400000000.0,3715812400000000.0,3715812400000000.0,3715812400000000.0,3677462400000000.0,3677448400000000.0,,,,,,,,,,3713321300000000.0,0.0
1902,,3704891100000000.0,3706125000000000.0,3712807764508529.5,3752970300000000.0,3752970300000000.0,3752970300000000.0,3752970300000000.0,3714237000000000.0,3714223300000000.0,,,,,,,,,,3750454300000000.0,0.0
1903,,3741939500000000.0,3743185600000000.0,3749935756639728.0,3790499800000000.0,3790499800000000.0,3790499800000000.0,3790499800000000.0,3751379000000000.0,3751364800000000.0,,,,,,,,,,3787959000000000.0,0.0
1904,,3779359700000000.0,3780618400000000.0,3787453074497898.0,3828405300000000.0,3828405300000000.0,3828405300000000.0,3828405300000000.0,3788932000000000.0,3788917000000000.0,,,,,,,,,,3825838800000000.0,0.0
1905,,3817152500000000.0,3818423800000000.0,3825281805429932.0,3866689300000000.0,3866689300000000.0,3866689300000000.0,3866689300000000.0,3826781800000000.0,3826767500000000.0,,,,,,,,,,3864097000000000.0,0.0
1906,,3855324500000000.0,3856608700000000.0,3863577299664895.5,3905355800000000.0,3905355800000000.0,3905355800000000.0,3905355800000000.0,3865050000000000.0,3865035000000000.0,,,,,,,,,,3902738000000000.0,0.0
1907,,3893877200000000.0,3895174300000000.0,3902184206973720.5,3944409600000000.0,3944409600000000.0,3944409600000000.0,3944409600000000.0,3903700000000000.0,3903686000000000.0,,,,,,,,,,3941765300000000.0,0.0
1908,,3932816000000000.0,3934126000000000.0,3941258352662630.0,3983853800000000.0,3983853800000000.0,3983853800000000.0,3983853800000000.0,3942777800000000.0,3942762000000000.0,,,,,,,,,,3981183200000000.0,0.0
1909,,3972144400000000.0,3973467500000000.0,3980643673886824.5,4023691800000000.0,4023691800000000.0,4023691800000000.0,4023691800000000.0,3982165000000000.0,3982149500000000.0,,,,,,,,,,4020994800000000.0,0.0
1910,,4011866000000000.0,4013203200000000.0,4020418320837992.5,4063929200000000.0,4063929200000000.0,4063929200000000.0,4063929200000000.0,4021986400000000.0,4021970900000000.0,,,,,,,,,,4061204800000000.0,0.0
1911,,4051984000000000.0,4053333500000000.0,4060659731092090.0,4104568200000000.0,4104568200000000.0,4104568200000000.0,4104568200000000.0,4062206600000000.0,4062190500000000.0,,,,,,,,,,4101817000000000.0,0.0
1912,,4092504000000000.0,4093868000000000.0,4101290229534584.0,4145614400000000.0,4145614400000000.0,4145614400000000.0,4145614400000000.0,4102870600000000.0,4102854500000000.0,,,,,,,,,,4142835000000000.0,0.0
1913,,4133429500000000.0,4134807000000000.0,4142232378589518.0,4187070200000000.0,4187070200000000.0,4187070200000000.0,4187070200000000.0,4143856700000000.0,4143840600000000.0,,,,,,,,,,4184263400000000.0,0.0
1914,,4174763800000000.0,4176154500000000.0,4183719441139066.0,4228941000000000.0,4228941000000000.0,4228941000000000.0,4228941000000000.0,4185295300000000.0,4185279000000000.0,,,,,,,,,,4226105800000000.0,0.0
1915,,4216512000000000.0,4217915900000000.0,4225517679223902.5,4271230400000000.0,4271230400000000.0,4271230400000000.0,4271230400000000.0,4227148000000000.0,4227132300000000.0,,,,,,,,,,4268367200000000.0,0.0
1916,,4258676000000000.0,4260095400000000.0,4267782918150245.5,4313942700000000.0,4313942700000000.0,4313942700000000.0,4313942700000000.0,4269463000000000.0,4269447700000000.0,,,,,,,,,,4311051000000000.0,0.0
1917,,4301263000000000.0,4302695000000000.0,4310437720342135.5,4357082500000000.0,4357082500000000.0,4357082500000000.0,4357082500000000.0,4312114000000000.0,4312097500000000.0,,,,,,,,,,4354161600000000.0,0.0
1918,,4344276500000000.0,4345722300000000.0,4353559048298381.5,4400652500000000.0,4400652500000000.0,4400652500000000.0,4400652500000000.0,4355235000000000.0,4355218200000000.0,,,,,,,,,,4397702600000000.0,0.0
1919,,4387718500000000.0,4389180600000000.0,4397069464443021.5,4444659800000000.0,4444659800000000.0,4444659800000000.0,4444659800000000.0,4398787400000000.0,4398770200000000.0,,,,,,,,,,4441680000000000.0,0.0
1920,,4431595300000000.0,4433071700000000.0,4441047356506320.5,4489106300000000.0,4489106300000000.0,4489106300000000.0,4489106300000000.0,4442820700000000.0,4442804000000000.0,,,,,,,,,,4486096800000000.0,0.0
1921,,4475911300000000.0,4477403300000000.0,4485492249411126.5,4533997000000000.0,4533997000000000.0,4533997000000000.0,4533997000000000.0,4487202800000000.0,4487185600000000.0,,,,,,,,,,4530957500000000.0,0.0
1922,,4520671000000000.0,4522176000000000.0,4530326230504329.0,4579337600000000.0,4579337600000000.0,4579337600000000.0,4579337600000000.0,4532075000000000.0,4532058000000000.0,,,,,,,,,,4576267000000000.0,0.0
1923,,4565877000000000.0,4567398000000000.0,4575626737361885.0,4625131000000000.0,4625131000000000.0,4625131000000000.0,4625131000000000.0,4577396000000000.0,4577378600000000.0,,,,,,,,,,4622030000000000.0,0.0
1924,,4611536000000000.0,4613071400000000.0,4621394720138097.0,4671381000000000.0,4671381000000000.0,4671381000000000.0,4671381000000000.0,4623217000000000.0,4623199400000000.0,,,,,,,,,,4668250400000000.0,0.0
1925,,4657652000000000.0,4659202500000000.0,4667629703755818.0,4718096000000000.0,4718096000000000.0,4718096000000000.0,4718096000000000.0,4669401500000000.0,4669383000000000.0,,,,,,,,,,4714933000000000.0,0.0
1926,,4704228000000000.0,4705795000000000.0,4714253775561936.0,4765276400000000.0,4765276400000000.0,4765276400000000.0,4765276400000000.0,4716095300000000.0,4716077600000000.0,,,,,,,,,,4762082000000000.0,0.0
1927,,4751271600000000.0,4752853000000000.0,4761422760862670.0,4812929000000000.0,4812929000000000.0,4812929000000000.0,4812929000000000.0,4763256000000000.0,4763238000000000.0,,,,,,,,,,4809703000000000.0,0.0
1928,,4798783600000000.0,4800382000000000.0,4809059222082062.0,4861058500000000.0,4861058500000000.0,4861058500000000.0,4861058500000000.0,4810938400000000.0,4810919600000000.0,,,,,,,,,,4857799700000000.0,0.0
1929,,4846771300000000.0,4848386000000000.0,4857162209065807.0,4909669000000000.0,4909669000000000.0,4909669000000000.0,4909669000000000.0,4858998000000000.0,4858979700000000.0,,,,,,,,,,4906378000000000.0,0.0
1930,,4895239400000000.0,4896869000000000.0,4905732196891057.0,4958766000000000.0,4958766000000000.0,4958766000000000.0,4958766000000000.0,4907588000000000.0,4907568700000000.0,,,,,,,,,,4955441500000000.0,0.0
1931,,4944191000000000.0,4945838500000000.0,4954769185557815.0,5008354000000000.0,5008354000000000.0,5008354000000000.0,5008354000000000.0,4956664000000000.0,4956644000000000.0,,,,,,,,,,5004996000000000.0,0.0
1932,,4993633400000000.0,4995296000000000.0,5004273175066079.0,5058437500000000.0,5058437500000000.0,5058437500000000.0,5058437500000000.0,5006281500000000.0,5006261700000000.0,,,,,,,,,,5055046000000000.0,0.0
1933,,5043570000000000.0,5045250000000000.0,5054322078068959.0,5109021400000000.0,5109021400000000.0,5109021400000000.0,5109021400000000.0,5056292700000000.0,5056273000000000.0,,,,,,,,,,5105597000000000.0,0.0
1934,,5094004600000000.0,5095703000000000.0,5104915894566455.0,5160111700000000.0,5160111700000000.0,5160111700000000.0,5160111700000000.0,5106855000000000.0,5106835000000000.0,,,,,,,,,,5156652600000000.0,0.0
1935,,5144945000000000.0,5146659000000000.0,5155976711905456.0,5211713000000000.0,5211713000000000.0,5211713000000000.0,5211713000000000.0,5157923400000000.0,5157904000000000.0,,,,,,,,,,5208219000000000.0,0.0
1936,,5196395000000000.0,5198126000000000.0,5207505005163118.0,5263830000000000.0,5263830000000000.0,5263830000000000.0,5263830000000000.0,5209556400000000.0,5209536600000000.0,,,,,,,,,,5260301500000000.0,0.0
1937,,5248359300000000.0,5250107400000000.0,5259577261761088.0,5316468000000000.0,5316468000000000.0,5316468000000000.0,5316468000000000.0,5261598500000000.0,5261578000000000.0,,,,,,,,,,5312904000000000.0,0.0
1938,,5300841000000000.0,5302608000000000.0,5312194906930829.0,5369633000000000.0,5369633000000000.0,5369633000000000.0,5369633000000000.0,5314214600000000.0,5314194000000000.0,,,,,,,,,,5366033400000000.0,0.0
1939,,5353849600000000.0,5355634000000000.0,5365279552942073.0,5423330000000000.0,5423330000000000.0,5423330000000000.0,5423330000000000.0,5367357000000000.0,5367336300000000.0,,,,,,,,,,5419694000000000.0,0.0
1940,,5407389000000000.0,5409189700000000.0,5418987025101047.0,5477563000000000.0,5477563000000000.0,5477563000000000.0,5477563000000000.0,5421084600000000.0,5421064000000000.0,,,,,,,,,,5473890700000000.0,0.0
1941,,5461463000000000.0,5463282700000000.0,5473161023024370.0,5532337700000000.0,5532337700000000.0,5532337700000000.0,5532337700000000.0,5475240400000000.0,5475220000000000.0,,,,,,,,,,5528629500000000.0,0.0
1942,,5516078000000000.0,5517916000000000.0,5527880409519465.0,5587661000000000.0,5587661000000000.0,5587661000000000.0,5587661000000000.0,5529993000000000.0,5529971700000000.0,,,,,,,,,,5583915400000000.0,0.0
1943,,5571239000000000.0,5573094000000000.0,5583144234432023.0,5643538000000000.0,5643538000000000.0,5643538000000000.0,5643538000000000.0,5585292500000000.0,5585271600000000.0,,,,,,,,,,5639755400000000.0,0.0
1944,,5626951500000000.0,5628825000000000.0,5638953447916350.0,5699973500000000.0,5699973500000000.0,5699973500000000.0,5699973500000000.0,5641203300000000.0,5641182400000000.0,,,,,,,,,,5696152600000000.0,0.0
1945,,5683220400000000.0,5685114000000000.0,5695385012471248.0,5756972600000000.0,5756972600000000.0,5756972600000000.0,5756972600000000.0,5697557000000000.0,5697535600000000.0,,,,,,,,,,5753114600000000.0,0.0
1946,,5740052500000000.0,5741964300000000.0,5752361490520762.0,5814542300000000.0,5814542300000000.0,5814542300000000.0,5814542300000000.0,5754532500000000.0,5754510000000000.0,,,,,,,,,,5810645700000000.0,0.0
1947,,5797453700000000.0,5799384000000000.0,5809882406987742.0,5872688600000000.0,5872688600000000.0,5872688600000000.0,5872688600000000.0,5812078000000000.0,5812055500000000.0,,,,,,,,,,5868752000000000.0,0.0
1948,,5855427000000000.0,5857377600000000.0,5867948712026488.0,5931416000000000.0,5931416000000000.0,5931416000000000.0,5931416000000000.0,5870259000000000.0,5870236000000000.0,,,,,,,,,,5927438700000000.0,0.0
1949,,5913981500000000.0,5915952000000000.0,5926637368135808.0,5990729400000000.0,5990729400000000.0,5990729400000000.0,5990729400000000.0,5928900000000000.0,5928877500000000.0,,,,,,,,,,5986713600000000.0,0.0
1950,,5973122000000000.0,5975112000000000.0,5985871412816897.0,6050636600000000.0,6050636600000000.0,6050636600000000.0,6050636600000000.0,5988190000000000.0,5988165300000000.0,,,,,,,,,,6046580000000000.0,0.0
1951,,6032853000000000.0,6034862300000000.0,6045727333491407.0,6111143600000000.0,6111143600000000.0,6111143600000000.0,6111143600000000.0,6048071500000000.0,6048048000000000.0,,,,,,,,,,6107046000000000.0,0.0
1952,,6093180400000000.0,6095211000000000.0,6106206555390793.0,6172255000000000.0,6172255000000000.0,6172255000000000.0,6172255000000000.0,6108615500000000.0,6108592000000000.0,,,,,,,,,,6168117000000000.0,0.0
1953,,6154113000000000.0,6156164000000000.0,6167308603437907.0,6233977000000000.0,6233977000000000.0,6233977000000000.0,6233977000000000.0,6169637300000000.0,6169613700000000.0,,,,,,,,,,6229798000000000.0,0.0
1954,,6215654700000000.0,6217725000000000.0,6228955089902483.0,6296317000000000.0,6296317000000000.0,6296317000000000.0,6296317000000000.0,6231334000000000.0,6231310400000000.0,,,,,,,,,,6292095400000000.0,0.0
1955,,6277811400000000.0,6279902000000000.0,6291224402514785.0,6359280500000000.0,6359280500000000.0,6359280500000000.0,6359280500000000.0,6293647500000000.0,6293623300000000.0,,,,,,,,,,6355016700000000.0,0.0
1956,,6340590000000000.0,6342701000000000.0,6354116541274815.0,6422873000000000.0,6422873000000000.0,6422873000000000.0,6422873000000000.0,6356649000000000.0,6356625000000000.0,,,,,,,,,,6418566600000000.0,0.0
1957,,6403994300000000.0,6406128000000000.0,6417708943758525.0,6487102000000000.0,6487102000000000.0,6487102000000000.0,6487102000000000.0,6420150000000000.0,6420125000000000.0,,,,,,,,,,6482753000000000.0,0.0
1958,,6468035500000000.0,6470189500000000.0,6481846259736851.0,6551973000000000.0,6551973000000000.0,6551973000000000.0,6551973000000000.0,6484351000000000.0,6484326300000000.0,,,,,,,,,,6547580500000000.0,0.0
1959,,6532714500000000.0,6534891000000000.0,6546684314516015.0,6617492300000000.0,6617492300000000.0,6617492300000000.0,6617492300000000.0,6549195400000000.0,6549170000000000.0,,,,,,,,,,6613056000000000.0,0.0
1960,,6598042000000000.0,6600239500000000.0,6612144720365749.0,6683667600000000.0,6683667600000000.0,6683667600000000.0,6683667600000000.0,6614754300000000.0,6614728500000000.0,,,,,,,,,,6679187000000000.0,0.0
1961,,6664023500000000.0,6666243000000000.0,6678305865016321.0,6750503700000000.0,6750503700000000.0,6750503700000000.0,6750503700000000.0,6680834000000000.0,6680808000000000.0,,,,,,,,,,6745978400000000.0,0.0
1962,,6730663000000000.0,6732904000000000.0,6745089835814619.0,6818009300000000.0,6818009300000000.0,6818009300000000.0,6818009300000000.0,6747642000000000.0,6747615300000000.0,,,,,,,,,,6813438000000000.0,0.0
1963,,6797970600000000.0,6800234000000000.0,6812496157683489.0,6886189000000000.0,6886189000000000.0,6886189000000000.0,6886189000000000.0,6815119000000000.0,6815092500000000.0,,,,,,,,,,6881572700000000.0,0.0
1964,,6865949000000000.0,6868236300000000.0,6880603218353195.0,6955051000000000.0,6955051000000000.0,6955051000000000.0,6955051000000000.0,6883340000000000.0,6883314000000000.0,,,,,,,,,,6950388300000000.0,0.0
1965,,6934608600000000.0,6936918000000000.0,6949411017823736.0,7024601500000000.0,7024601500000000.0,7024601500000000.0,7024601500000000.0,6952102500000000.0,6952075000000000.0,,,,,,,,,,7019892700000000.0,0.0
1966,,7003955000000000.0,7006287300000000.0,7018919081017960.0,7094848000000000.0,7094848000000000.0,7094848000000000.0,7094848000000000.0,7021623000000000.0,7021596700000000.0,,,,,,,,,,7090092000000000.0,0.0
1967,,7073994000000000.0,7076351000000000.0,7089127883013021.0,7165796000000000.0,7165796000000000.0,7165796000000000.0,7165796000000000.0,7091839000000000.0,7091812000000000.0,,,,,,,,,,7160992000000000.0,0.0
1968,,7144734500000000.0,7147115000000000.0,7160036948731763.0,7237453700000000.0,7237453700000000.0,7237453700000000.0,7237453700000000.0,7162832400000000.0,7162804500000000.0,,,,,,,,,,7232602000000000.0,0.0
1969,,7216181000000000.0,7218585400000000.0,7231646753251341.0,7309828700000000.0,7309828700000000.0,7309828700000000.0,7309828700000000.0,7234385500000000.0,7234357600000000.0,,,,,,,,,,7304928000000000.0,0.0
1970,,7288344000000000.0,7290770000000000.0,7303956821494603.0,7382926400000000.0,7382926400000000.0,7382926400000000.0,7382926400000000.0,7306729400000000.0,7306701000000000.0,,,,,,,,,,7377978000000000.0,0.0
1971,,7361227700000000.0,7363679000000000.0,7376967628538700.0,7456755000000000.0,7456755000000000.0,7456755000000000.0,7456755000000000.0,7379797000000000.0,7379768000000000.0,,,,,,,,,,7451757500000000.0,0.0
1972,,7434839000000000.0,7437315700000000.0,7450756611959587.0,7531323400000000.0,7531323400000000.0,7531323400000000.0,7531323400000000.0,7453671500000000.0,7453641400000000.0,,,,,,,,,,7526274700000000.0,0.0
1973,,7509187700000000.0,7511689000000000.0,7525246334181313.0,7606638000000000.0,7606638000000000.0,7606638000000000.0,7606638000000000.0,7528130600000000.0,7528101000000000.0,,,,,,,,,,7601537500000000.0,0.0
1974,,7584279000000000.0,7586804700000000.0,7600514232779829.0,7682704000000000.0,7682704000000000.0,7682704000000000.0,7682704000000000.0,7603412300000000.0,7603381000000000.0,,,,,,,,,,7677552500000000.0,0.0
1975,,7660123000000000.0,7662674000000000.0,7676482870179184.0,7759530600000000.0,7759530600000000.0,7759530600000000.0,7759530600000000.0,7679446000000000.0,7679416600000000.0,,,,,,,,,,7754329000000000.0,0.0
1976,,7736724000000000.0,7739299700000000.0,7753230159032483.0,7837125000000000.0,7837125000000000.0,7837125000000000.0,7837125000000000.0,7756319600000000.0,7756290600000000.0,,,,,,,,,,7831871000000000.0,0.0
1977,,7814091000000000.0,7816693000000000.0,7831144237373819.0,7915497500000000.0,7915497500000000.0,7915497500000000.0,7915497500000000.0,7833803500000000.0,7833773000000000.0,,,,,,,,,,7910190000000000.0,0.0
1978,,7892232000000000.0,7894860700000000.0,7908980878139197.0,7994652000000000.0,7994652000000000.0,7994652000000000.0,7994652000000000.0,7912141000000000.0,7912111000000000.0,,,,,,,,,,7989292000000000.0,0.0
1979,,7971153000000000.0,7973808600000000.0,7988374821812465.0,8074599000000000.0,8074599000000000.0,8074599000000000.0,8074599000000000.0,7991262000000000.0,7991231000000000.0,,,,,,,,,,8069185000000000.0,0.0
1980,,8050865000000000.0,8053546300000000.0,8067767815331427.0,8155344600000000.0,8155344600000000.0,8155344600000000.0,8155344600000000.0,8071257000000000.0,8071227000000000.0,,,,,,,,,,8149877000000000.0,0.0
1981,,8131375400000000.0,8134082300000000.0,8148718111758284.0,8236898500000000.0,8236898500000000.0,8236898500000000.0,8236898500000000.0,8151886000000000.0,8151855000000000.0,,,,,,,,,,8231375700000000.0,0.0
1982,,8212688300000000.0,8215422600000000.0,8230446584561932.0,8319267400000000.0,8319267400000000.0,8319267400000000.0,8319267400000000.0,8233405600000000.0,8233373400000000.0,,,,,,,,,,8313689300000000.0,0.0
1983,,8294816000000000.0,8297578000000000.0,8312175057365579.0,8402460000000000.0,8402460000000000.0,8402460000000000.0,8402460000000000.0,8315740000000000.0,8315708000000000.0,,,,,,,,,,8396826400000000.0,0.0
1984,,8377762700000000.0,8380553300000000.0,8395459882922811.0,8486483300000000.0,8486483300000000.0,8486483300000000.0,8486483300000000.0,8398982500000000.0,8398950000000000.0,,,,,,,,,,8480795000000000.0,0.0
1985,,8461541000000000.0,8464359000000000.0,8479523835011139.0,8571348700000000.0,8571348700000000.0,8571348700000000.0,8571348700000000.0,8482885000000000.0,8482852500000000.0,,,,,,,,,,8565603600000000.0,0.0
1986,,8546157600000000.0,8549002000000000.0,8564365963476261.0,8657062000000000.0,8657062000000000.0,8657062000000000.0,8657062000000000.0,8567714000000000.0,8567682400000000.0,,,,,,,,,,8651258000000000.0,0.0
1987,,8631619000000000.0,8634492000000000.0,8649986268318177.0,8743632000000000.0,8743632000000000.0,8743632000000000.0,8743632000000000.0,8653392000000000.0,8653358400000000.0,,,,,,,,,,8737771700000000.0,0.0
1988,,8717934000000000.0,8720837000000000.0,8736384749536885.0,8831068600000000.0,8831068600000000.0,8831068600000000.0,8831068600000000.0,8740014000000000.0,8739981400000000.0,,,,,,,,,,8825149000000000.0,0.0
1989,,8805113000000000.0,8808044300000000.0,8823561407132387.0,8919380000000000.0,8919380000000000.0,8919380000000000.0,8919380000000000.0,8827325500000000.0,8827289500000000.0,,,,,,,,,,8913401500000000.0,0.0
1990,,8893165700000000.0,8896125500000000.0,8912295367635779.0,9008575000000000.0,9008575000000000.0,9008575000000000.0,9008575000000000.0,8915598300000000.0,8915563400000000.0,,,,,,,,,,9002535000000000.0,0.0
1991,,8982097300000000.0,8985087000000000.0,9001029328139171.0,9098660000000000.0,9098660000000000.0,9098660000000000.0,9098660000000000.0,9004753300000000.0,9004718400000000.0,,,,,,,,,,9092559000000000.0,0.0
1992,,9071917000000000.0,9074938000000000.0,9091319641396148.0,9189646000000000.0,9189646000000000.0,9189646000000000.0,9189646000000000.0,9094895000000000.0,9094861000000000.0,,,,,,,,,,9183487000000000.0,0.0
1993,,9162635000000000.0,9165687000000000.0,9182388131029918.0,9281541000000000.0,9281541000000000.0,9281541000000000.0,9281541000000000.0,9185750000000000.0,9185714000000000.0,,,,,,,,,,9275320000000000.0,0.0
1994,,9254263000000000.0,9257346000000000.0,9274235747194786.0,9374358000000000.0,9374358000000000.0,9374358000000000.0,9374358000000000.0,9277607000000000.0,9277571000000000.0,,,,,,,,,,9368072000000000.0,0.0
1995,,9346804000000000.0,9349919000000000.0,9366861539736448.0,9468102000000000.0,9468102000000000.0,9468102000000000.0,9468102000000000.0,9370383000000000.0,9370346000000000.0,,,,,,,,,,9461755000000000.0,0.0
1996,,9440273000000000.0,9443417000000000.0,9460265508654900.0,9562782000000000.0,9562782000000000.0,9562782000000000.0,9562782000000000.0,9464185000000000.0,9464146000000000.0,,,,,,,,,,9556372000000000.0,0.0
1997,,9534675000000000.0,9537851000000000.0,9555225830326942.0,9658410000000000.0,9658410000000000.0,9658410000000000.0,9658410000000000.0,9558728000000000.0,9558691000000000.0,,,,,,,,,,9651936000000000.0,0.0
1998,,9630022000000000.0,9633232000000000.0,9650965278530078.0,9754994000000000.0,9754994000000000.0,9754994000000000.0,9754994000000000.0,9654317000000000.0,9654278000000000.0,,,,,,,,,,9748456000000000.0,0.0
1999,,9726323000000000.0,9729562000000000.0,9747482903110010.0,9852545000000000.0,9852545000000000.0,9852545000000000.0,9852545000000000.0,9750859000000000.0,9750820000000000.0,,,,,,,,,,9845939000000000.0,0.0
2000,,,,,,,,,9848468000000000.0,9848432000000000.0,,,,,,,,,,,0.0
2001,,,,,,,,,9946851000000000.0,9946812000000000.0,,,,,,,,,,,
2002,,,,,,,,,1.0046318e+16,1.0046282e+16,,,,,,,,,,,
2003,,,,,,,,,1.0146782e+16,1.0146743e+16,,,,,,,,,,,
2004,,,,,,,,,1.0248356e+16,1.0248315e+16,,,,,,,,,,,
2005,,,,,,,,,1.0350733e+16,1.0350693e+16,,,,,,,,,,,
2006,,,,,,,,,1.0454239e+16,1.0454201e+16,,,,,,,,,,,
2007,,,,,,,,,1.0558783e+16,1.0558742e+16,,,,,,,,,,,
2008,,,,,,,,,1.0664479e+16,1.0664438e+16,,,,,,,,,,,
2009,,,,,,,,,1.0771015e+16,1.0770972e+16,,,,,,,,,,,
2010,,,,,,,,,1.0878724e+16,1.0878683e+16,,,,,,,,,,,
2011,,,,,,,,,1.0987511e+16,1.098747e+16,,,,,,,,,,,
2012,,,,,,,,,1.10975e+16,1.1097456e+16,,,,,,,,,,,
2013,,,,,,,,,1.120836e+16,1.1208317e+16,,,,,,,,,,,
2014,,,,,,,,,1.1320444e+16,1.1320401e+16,,,,,,,,,,,
